Run2022C
359609:8212,09/30/22 08:00:32,25,25,2045944.988064047,1672407.392807645
359612:8212,09/30/22 08:31:57,12,12,947834.934908237,759440.004860943
359661:8214,09/30/22 14:54:53,81,81,9547366.846745074,9069424.646254418
359685:8216,09/30/22 22:05:59,132,132,21002926.291902620,20796878.070165262
359686:8216,09/30/22 23:11:45,934,934,114490792.541684330,113620681.048038214
359691:8220,10/01/22 10:46:50,121,121,38273860.133479141,36556873.020547576
359693:8220,10/01/22 12:12:09,604,604,168139335.897909462,162173072.178295970
359694:8220,10/01/22 16:13:37,1080,1080,220390093.269690156,215346916.788515478
359699:8221,10/02/22 02:39:50,1856,1856,421583249.536278009,408576166.256691873
359718:8222,10/02/22 20:52:32,366,366,125625023.082961202,120624956.780565709
359750:8223,10/03/22 11:38:36,135,135,49693604.694870606,47973843.596942559
359751:8223,10/03/22 13:00:20,993,993,317204217.048966050,303855748.338296115
359762:8225,10/03/22 23:15:14,223,223,83234417.160526574,79604110.805518612
359763:8225,10/04/22 00:48:18,458,458,156282388.883793324,150338602.548832119
359764:8225,10/04/22 04:05:26,1084,1084,263611535.167147487,254408218.367758036
359776:8226,10/04/22 13:35:49,329,329,211091.964324832,210229.127453609
359806:8228,10/04/22 22:42:28,369,369,149807460.527337283,143007536.067099571
359808:8228,10/05/22 01:14:08,46,46,17719072.502161592,16455101.451866381
359809:8228,10/05/22 01:32:58,43,43,16190235.197591357,15207282.526774129
359810:8228,10/05/22 01:51:08,183,183,65291612.781940848,61839284.746991716
359812:8228,10/05/22 03:09:00,227,227,73786928.715088129,70240582.116042241
359814:8228,10/05/22 04:49:10,366,366,104234975.110172749,100484772.072672725
359870:8230,10/05/22 19:06:37,6,6,2414264.474527021,2218061.035602317
359871:8230,10/05/22 19:13:55,228,228,103901065.464892089,97958073.300778568
359887:8232,10/06/22 05:08:20,473,473,313669.848513895,312441.806923548
359899:8233,10/06/22 10:25:21,287,287,8334340.963910354,7732093.472868917
359903:8233,10/06/22 12:28:03,12,12,315917.957438119,301667.530391063
359998:8236,10/07/22 16:18:08,1892,1892,597604966.088395476,575817677.644233942
360017:8238,10/08/22 11:21:48,40,40,12133141.213317629,11509433.396903886
360019:8238,10/08/22 11:53:37,1488,1488,482185037.410024762,465555918.885288060
360075:8245,10/09/22 20:41:33,758,758,308716209.626987159,295413693.429314733
360090:8245,10/10/22 04:20:43,794,794,205692883.113719195,199082406.433026314
360116:8247,10/10/22 14:09:38,356,356,144223274.846460402,137741416.230718046
360125:8247,10/10/22 17:43:37,188,188,71486492.104688600,67838040.670865491
360126:8247,10/10/22 19:01:15,369,369,124740649.031578809,119319572.620836213
